"Food ID"	"Name"	"Optional Name"	"Description"	"Scientific Name"	"Derivation"	"Nitrogen Factor"	"Fat Factor"	"Specific Gravity"	"Sampling details"	"Inedible Portion"	"Edible Portion"	"Group"	"Sub Group"	"Sort Order"
"02A10331"	"Noodle, wheat, Asian style"	"Hokkien noodles"	"Commercially prepared, moist, wheat based noodle, commonly used in Asian style cooking. Includes noodles described as Hokkien, Singapore and Chow Mein noodles. Typical ingredients other than wheat and water include salt, tapioca flour, vegetable oil, colours and preservatives."	""	"Analysed"	"5.70"	"0.920"	"0.000"	"The majority of nutrients were derived from a composite sample of 8 purchases of chilled and shelf stable wheat noodles (2x Wokka, 2x Changs, 1x Fantastic, 1x Kan Tong, 1x Goldstar, 1x No 1 Foods) purchased in Melbourne in January 2006. Cholesterol was imputed as 0."	"nil"	"100%"	"Cereals and Cereal Products"	"Noodles and Pasta"	"449"
"02A10307"	"Noodle, wheat, instant, flavoured, boiled, drained"	"Two minute noodles"	"Noodle made from wheat flour, vegetable oil, salts and vegetable gums, coiled into blocks and dried before packaging. Cooked by heating in boiling water with contents of favour sachet. Drained of excess water."	""	"Analysed"	"5.95"	"0.920"	"0.000"	"Nutrients were derived from a composite sample of 2 packets of at least 3 brands (e.g. Trident, Maggi, Farmland or Ayam Brands) of instant noodles (5 minutes cooking or less) prepared according to packet instructions (i.e. boiled in distilled water without the addition of salt or fat, then drained) (NFA 1993/1994 Program). Also, determined from a composite sample of 4 brands (4x Maggi 2 Minute, 2x Generics, 1x Trident 2 Minute and 1x  Fantastic Noodle) of instant wheat noodles prepared according to packet instructions by boiling in tap water without the addition of extra salt or fat (2000 Food Composition Program). Fatty acids are derived from 2 samples of Mamee flavoured noodles purchased in NSW in 2009 (2008 TFA program)."	"nil"	"100%"	"Cereals and Cereal Products"	"Noodles and Pasta"	"450"
"02A10318"	"Noodle, rice stick, boiled, drained"	"Rice noodles"	"Noodles made from a paste of water and ground rice only, or rice with cornflour, dried and coiled. Cooked by boiling without salt and then draining."	""	"Analysed"	"5.95"	"0.850"	"0.000"	"The majority of nutrients were averaged from two analytical samples. The first was a composite sample of 6 brands (1x Egret, Peacock, Six Fortune, Excellent, Wai Wai, Double Swallow) of rice stick noodles purchased in Sydney and boiled for 5 minutes in unsalted tap water. The second was a composite sample of 3 brands (Thai World, Penta and Dragon Bowl) of rice stick noodles purchased in Sydney and boiled for 5 minutes in unsalted tap water. Folate was derived from a composite sample of 6 purchases (2x Taings, 2x Bamboo Pot, 1x Way Lup Food Co, 1x Unbranded) of fresh rice noodles purchased in Sydney and cooked according to label instructions in March 2005. Vitamin C imputed as zero."	"nil"	"100%"	"Cereals and Cereal Products"	"Noodles and Pasta"	"451"
"02F40209"	"Noodles, fried, with chicken & vegetables, takeaway style"	""	"Fried noodles with added chicken and vegetables, as served in takeaway outlets."	""	"Analysed"	"6.25"	"0.950"	"0.000"	"Na, fat and fatty acids were derived from 5 individual samples of fried noodles with chicken and vegetables purchased from takeaway outlets in WA in 2009 (2008 TFA program). Moisture, protein, starch, sugar, dietary fibre and ash imputed from AUSNUT 2007 record for stir-fried noodles with chicken and vegetables."	"nil"	"100%"	"Cereals and Cereal Products"	"Noodles and Pasta"	"452"
"02F40208"	"Noodles, fried, with vegetables, takeaway style"	""	"Fried noodles with added vegetables, as served in takeaway outlets."	""	"Analysed"	"6.25"	"0.950"	"0.000"	"Na, I, fat and fatty acids were derived from 5 individual samples of fried noodles with added vegetables purchased from takeaway outlets in NSW and SA in 2009 (2008 TFA program). Moisture, protein, starch, sugar, dietary fibre and ash imputed from AUSNUT 2007 record for stir-fried noodles with vegetables."	"nil"	"100%"	"Cereals and Cereal Products"	"Noodles and Pasta"	"453"
"02A10299"	"Pasta, white wheat flour based, dry (regular pasta)"	"Spaghetti"	"The dough made by combining wheat flour or semolina (preferably durum semolina) with water. The dough is then dried before packaging and sale."	""	"Analysed"	"5.70"	"0.670"	"0.000"	"Fatty acids, sugars, some vitamins and minerals were derived from a composite sample of 5 brands of pasta (2x Leggo, 1x Nanda, 2x San Remo, 2x Eta and 1x Zafarelli) purchased in Adelaide (AGAL 1987 - Seafood and Products, Cereals). Dietary fibre, starch, Cu, Mn, P, Cl, Se, S, F, ATOC, B6, pantothenate and biotin were derived from a composite of 4 brands (2 packets  of each) of pasta purchased in 1993 (1993 Cereal Catch-up Program). Folate was derived from the 1997/98 ANZFA folate program. Iodine was derived from the 2000 Food Comp Program. Fat and fatty acids were determined in four samples purchased in NSW in 2005 and results are averaged with earlier values. Vitamin C is imputed. Note low sum of proximates - data should be used with caution."	"nil"	"100%"	"Cereals and Cereal Products"	"Noodles and Pasta"	"454"
"02A10300"	"Pasta, white wheat flour, boiled from dry, with added salt"	"Spaghetti"	"The dough made by combining wheat flour or semolina (preferably durum semolina) with water. Cooked in boiling water containing added non-iodised salt (0.25%) until firm to the bite. Drained."	""	"Analysed"	"5.70"	"0.670"	"0.000"	"Sugars and some vitamins and minerals were derived from a composite sample of 5 brands of pasta (2x Leggo, 1x Nanda, 2x San Remo, 2x Eta and 1x Zafarelli) purchased in Adelaide. Cooked according to label instructions (AGAL 1987 - Seafood and Products, Cereals). Na, K, Cu, Mn, P, Cl, Se, S, F, ATOC, B6, pantothenate and biotin were derived from a composite of 4 brands (2x Nanda, 2x Leggo, 2x Vetta, 2x San Remo) of pasta purchased in 1993. Cooked according to label directions with the addition of 5 g of salt for every 250 g of pasta and 2 L of water (1993 Cereal catch-up program). Folate was derived from a composite of 6 samples of pasta (2x San Remo, 1x Coles spirals, 1x Zafarelli spaghetti, 1xHome Brand spaghetti, 1xDivella capellini) purchased in Sydney in March 2005. Iodine was derived from a composite of 9 samples of pasta purchased in NSW, SA and NT in August 2004 (22nd ATDS) and cooked in unsalted water. Metals were determined in 9 samples of pasta purchased for the 1994 AMBS. Fatty acids were determined in 4 samples of dry white pasta purchased in Sydney in 2005. Note low sum of proximates - data should be used with caution. "	"nil"	"100%"	"Cereals and Cereal Products"	"Noodles and Pasta"	"455"
"02A10323"	"Pasta, white wheat flour, boiled from dry, no added salt"	"Spaghetti"	"The dough made by combining wheat flour or semolina (preferably durum semolina) with water. Cooked in boiling in unsalted water, until firm to the bite. Drained."	""	"Analysed"	"5.70"	"0.670"	"0.000"	"Proximates and vitamins were derived from a composite sample of 4 types of dry pasta (San Remo Spaghetti, San Remo Small Shells, Zafarelli Shells & Zafarelli Spirals) purchased from supermarkets in WA, NSW, QLD and VIC in 2008 (2008 KFP). Minerals were derived from samples purchased nationally for the 18th, 19th, 20th and 22nd ATDS. Fatty acids were determined in 4 samples of dry white pasta purchased in Sydney in 2005. Chol, Mg, Vit C, biotin, F, K, Mn and S were derived from analysis conducted in 1993 (1993 cereal catch up program). Note low sum of proximates - data should be used with caution."	"nil"	"100%"	"Cereals and Cereal Products"	"Noodles and Pasta"	"456"
"02A10320"	"Pasta, white wheat flour, fresh, uncooked"	"Fresh pasta"	"Commercial product prepared from white wheat flour and other ingredients and cut to shape, but not dried prior to packaging. Includes fresh pasta containing egg. Uncooked."	""	"Analysed"	"5.70"	"0.750"	"0.000"	"Sugars, proximates, vitamins and minerals were derived from a composite sample of at least 3 brands (Latina, San Remo and Leggos) of fresh pasta in 1994 (1994 NFA). Fatty acids were determined in one purchase of fresh egg pasta purchased in Sydney in 2005."	"nil"	"100%"	"Cereals and Cereal Products"	"Noodles and Pasta"	"457"
"02A10322"	"Pasta, white wheat flour, fresh, boiled, no added salt"	"Fresh Pasta"	"Commercial product prepared from white wheat flour and other ingredients and cut to shape, but not dried prior to packaging. Includes fresh pasta containing egg. Boiled without the addition of salt although the pasta itself is likely to contain added salt."	""	"Analysed"	"6.25"	"0.750"	"0.000"	"Sugars, proximates, vitamins and minerals were derived from a composite sample of at least 3 brands (Latina, San Remo, Leggos) of pasta in 1994. Pasta cooked according to label instructions. Boiled in tap water without the addition of salt, then drained. Fatty acid profile imputed from uncooked fresh pasta."	"nil"	"100%"	"Cereals and Cereal Products"	"Noodles and Pasta"	"458"
"02A10305"	"Pasta, white wheat flour with egg, dry"	"Egg pasta"	"The dough made by combining wheat flour or semolina (preferably durum wheat) with eggs. The dough is then dried prior to sale."	""	"Analysed"	"6.25"	"0.750"	"0.000"	"Fatty acids, sugars, vitamins and minerals were derived from a composite sample of 2 brands of pasta (4x San Remo and 2x Wiechs) purchased in Adelaide (AGAL 1987 - Seafood and Products, Cereals). Dietary fibre, Cu, Mn, P, Cl, Se, S, F, ATOC, B6, pantothenate and biotin were derived from a composite sample of 4 brands of pasta (2 packets of each) purchased in Adelaide (1993 Cereal catch-up Program). Folate was borrowed from the UK 4th edition (3S), record 11-43. Note low sum of proximates - data should be used with caution."	"nil"	"100%"	"Cereals and Cereal Products"	"Noodles and Pasta"	"459"
"02A10306"	"Pasta, white wheat flour with egg, boiled, with salt added"	"Egg pasta"	"The dough made by combining wheat flour or semolina (preferably durum wheat) with eggs. Cooked by boiling in salted water, until firm to the bite. Drained."	""	"Analysed"	"6.25"	"0.750"	"0.000"	"Fatty acids, sugars, vitamins and minerals were derived from a composite sample of 2 brands of pasta (4x San Remo and 2x Wiechs) purchased in Adelaide. Cooked according to label instructions (AGAL 1987 -Cereal and cereal products). Dietary fibre, Cu, Mn, P, Cl, Se, S, F, ATOC, B6, pantothenate and biotin were derived from a composite sample of 4 brands of pasta (2 packets of each) purchased in Adelaide. Cooked according to label instructions, with the addition of 5 g of salt for every 250 g of pasta and 2 L of water (1993 Cereal catch-up Program). Folate borrowed from the UK 4th edition (3S), record 11-56."	"nil"	"100%"	"Cereals and Cereal Products"	"Noodles and Pasta"	"460"
"02A10326"	"Pasta, white wheat flour with egg, boiled, no added salt"	"Egg pasta"	"The dough made by combining wheat flour or semolina (preferably durum wheat) with eggs. Cooked by boiling in unsalted water, until firm to the bite. Drained."	""	"Analysed"	"6.25"	"0.750"	"0.000"	"Fatty acids, sugars, vitamins and minerals were derived from a composite sample of 2 brands of pasta (4x San Remo and 2x Wiechs) purchased in Adelaide. Cooked according to label instructions (AGAL 1987 -Cereal and cereal products). Dietary fibre, Cu, Mn, P, Cl, Se, S, F, ATOC, B6, pantothenate and biotin were derived from a composite sample of 4 brands of pasta (2 packets of each) purchased in Adelaide. Cooked according to label instructions (1993 cereal catch up program). Na calculated from dry egg noodle."	"nil"	"100%"	"Cereals and Cereal Products"	"Noodles and Pasta"	"461"
"02A10321"	"Pasta, maize flour (corn) based, dry"	""	"Dried flour based product made from maize flour. Uncooked"	""	"Borrowed"	"6.25"	"0.850"	"0.000"	"Nutrient data borrowed from USDA 16, record 20091."	"nil"	"100%"	"Cereals and Cereal Products"	"Noodles and Pasta"	"462"
"02A10304"	"Pasta, maize flour (corn) based, cooked"	""	"Dried flour based product made from maize flour. Cooked by boiling, until firm to bite. Drained."	""	"Borrowed"	"6.25"	"0.850"	"0.000"	"Nutrient data borrowed from USDA 16, record 20092."	"nil"	"100%"	"Cereals and Cereal Products"	"Noodles and Pasta"	"463"
"02A10315"	"Pasta, white wheat flour & spinach, dry"	""	"Dough made by combining white wheat flour or semolina (preferably durum wheat) with water and spinach. Uncooked."	""	"Analysed"	"6.25"	"0.670"	"0.000"	"Sugars, fatty acids and some vitamins and minerals were derived from a composite sample of 2 brands of pasta (3x San Remo and 3x Nanda) purchased in Adelaide (AGAL 1987 - Report on cereals and cereal products analytical program). Dietary fibre, Cl, Se, S, F, ATOC, B6, pantothenate and biotin were derived from a composite sample of 2 brands (at least 3 packets of each) purchased in 1993 (1993 Cereal catch up program)."	"nil"	"100%"	"Cereals and Cereal Products"	"Noodles and Pasta"	"464"
"02A10303"	"Pasta, white wheat flour & spinach, boiled, with salt added"	""	"Dough made by combining white wheat flour or semolina (preferably durum wheat) with water and spinach. Cooked by boiling in salted water, until firm to the bite. Drained."	""	"Analysed"	"6.25"	"0.670"	"0.000"	"Sugars, fatty acids and some vitamins and minerals were derived from a composite sample of 2 brands of pasta (3x San Remo and 3x Nanda) purchased in Adelaide. Cooked according to label instructions i.e. 3 L of water to 500 g of pasta boiled for 10-12 minutes with added salt and drained immediately (AGAL - 1987 Cereal Products). Note high sum of proximates - use data with caution. Note low sum of proximates - data should be used with caution."	"nil"	"100%"	"Cereals and Cereal Products"	"Noodles and Pasta"	"465"
"02A10325"	"Pasta, white wheat flour & spinach, boiled, no added salt"	""	"Dough made by combining white wheat flour or semolina (preferably durum wheat) with water and spinach. Cooked by boiling in unsalted water, until firm to the bite. Drained."	""	"Analysed"	"6.25"	"0.670"	"0.000"	"Sugars, fatty acids, some vitamins and minerals (except sodium) were derived from a composite sample of 2 brands (3x San Remo and 3x Nanda) purchased in Adelaide. Cooked according to label instructions ie. 3 L of water to 500 g of pasta boiled for 10-12 minutes with added salt and drained immediately. (AGAL - 1987 Cereal Products). Na content calculated from dry spinach pasta."	"nil"	"100%"	"Cereals and Cereal Products"	"Noodles and Pasta"	"466"
"02A10301"	"Pasta, wholemeal wheat flour based, dry"	"Wholewheat pasta"	"Dough made by combining wheat flour (with varying proportions of wholewheat grain and white flour) or semolina (preferably durum semolina) with water."	""	"Analysed"	"5.83"	"0.720"	"0.000"	"Fatty acids, sugars and some vitamins and minerals were derived from a composite sample of 2 brands of pasta (1x San Remo and 3x Leggo) purchased in Adelaide (AGAL 1987 - Seafood and Products, Cereals). Protein, dietary fibre, Cu, Mn, P, Cl, Se, S, F, retinol, ATOC, BCAR, ACAR, B6, pantothenate and biotin were derived from a composite of at least 3 brands (3 packets of each) purchased in Adelaide (1993 Cereal catch up Program). Vitamin C was imputed based on international literature. Folate was borrowed from the UK 4th edition (3S), record 11-63. Note low sum of proximates - data should be used with caution."	"nil"	"100%"	"Cereals and Cereal Products"	"Noodles and Pasta"	"467"
"02A10302"	"Pasta, wholemeal wheat flour based, boiled from dry, with added salt"	"Wholewheat pasta"	"Dough made by combining wheat flour (with varying proportions of wholewheat grain and white flour) or semolina (preferably durum semolina) with water.  Cooked by boiling in salted water until firm to the bite. Drained."	""	"Analysed"	"5.83"	"0.720"	"0.000"	"Fatty acids, sugars and some vitamins and minerals were derived from a composite sample of 2 brands of pasta (1x San Remo and 3x Leggo) purchased in Adelaide. Cooked according to label instructions (AGAL 1987 - Seafood and Products, Cereals). Vitamin C imputed based on international literature. Protein, Na, K, Cu, Mn, P, Cl, Se, S, F, retinol, ATOC, ACAR, BCAR, B6, pantothenate and biotin were derived from a composite of at least 3 brands of pasta (3 packets of each) purchased in Adelaide. Cooked according to label instructions with the addition of 5 g of salt for every 250 g of pasta and 2 L water (1993 Cereal catch-up Program). Folate borrowed from the UK, record 11-64."	"nil"	"100%"	"Cereals and Cereal Products"	"Noodles and Pasta"	"468"
"02A10324"	"Pasta, wholemeal wheat flour, boiled from dry, no added salt"	"Wholewheat pasta"	"Dough made by combining wheat flour (with varying proportions of wholewheat grain and white flour) or semolina (preferably durum semolina) with water.  Cooked by boiling in unsalted water until firm to the bite. Drained."	""	"Analysed"	"5.83"	"0.720"	"0.000"	"Fatty acids, sugars and some vitamins and minerals were derived from a composite sample of 2 brands of pasta (1x San Remo and 3x Leggo) purchased in Adelaide. Cooked according to label instructions (AGAL 1987 - Seafood and Products, Cereals). Vitamin C imputed based on international literature. Fibre 1987 Fibre Englyst Program. Sodium imputed from dry pasta."	"nil"	"100%"	"Cereals and Cereal Products"	"Noodles and Pasta"	"469"
"02F40185"	"Cannelloni, beef, with tomato based sauce, baked"	""	"Commercially produced pasta dish made from pasta tubes filled with minced beef and topped with a tomato-based sauce and cheese. Includes pasta purchased frozen, then baked at home and pasta dishes available at restaurants."	""	"Analysed"	"6.25"	"0.920"	"0.000"	"Proximates (except dietary fibre), fatty acids, Ca, Fe, K, Mg, Na, Zn and cholesterol were derived from a composite of 4 samples (2x Findus and 2x Tandaco) purchased in Sydney, frozen, then baked in the laboratory (Greenfield et al. 1984). Moisture, dietary fibre, Cu, Mn, P, B1, B2, B3, and Vitamin C were derived from a composite of 4 samples of cannelloni purchased from restaurants in Sydney in 1991 (Greenfield et al. 1991). Moisture, dietary fibre, ACAR, BCAR, CRYP, B1, B2, B3, and Vitamin C were derived from a composite 6 samples (2x Findus and 1xMcCain purchased frozen and heated in the laboratory, and 3x from restaurants) purchased in Adelaide (AGAL 1988). Moisture, Cl, Cu, Mn, P, F, S, Se, ATOC, B1, B6, biotin and pantothenate were derived from a composite of 8 samples (4x Findus, purchased frozen and heated in the laboratory and 4x restaurants) in Adelaide (1993)."	"nil"	"100%"	"Cereals and Cereal Products"	"Noodles and Pasta"	"470"
"02F40186"	"Lasagne (Lasagna), beef, purchased frozen, baked"	""	"Commercially prepared pasta dish made from layers of minced beef, tomato filling, savoury white cheese sauce and pasta. Purchased frozen, then baked at home."	""	"Analysed"	"6.25"	"0.920"	"0.000"	"Majority of proximates and mineral values are averaged from 3 analyses. The first was a 1984 composite of 6 samples- 2x Campbells, 2x Findus and 2x Tandaco- purchased frozen in Sydney, then baked in the laboratory. The second was a 1988 composite of 6 samples purchased in Adelaide - 1x Findus, 1x Ladeliziosa and 1x Prima Pasta, all frozen, heated in the laboratory, and 3x from restaurants.  The third sample was a composite of 8 purchases of frozen lasagne in Melbourne in December 2005 (2x Maggi, 2x Sara Lee, 2x McCain, 1x Homebrand, 1x Savings; all reheated according to label instructions). Fatty acids, carotenes, iodine, B12, folates were determined only in the 2005 samples. Cholesterol, B1, B2, B3 were determined only in the 1984 & 1988 samples."	"nil"	"100%"	"Cereals and Cereal Products"	"Noodles and Pasta"	"471"
"02F40205"	"Pasta in cream based sauce, dry mix"	""	"Packaged product that contains dry pasta mixed with dry ingredients that, when reconstituted, will form a cream-style dish. Includes mixes described as carbonara or sour cream style. Typical ingredients include pasta, cheese, whey and skim milk powder, salt, spices and colours."	""	"Analysed"	"6.25"	"0.950"	"0.000"	"I, Na, fat and fatty acids were derived from 5 individual samples of cream based pasta dry mix (2x Continental, 1x Kraft, 1x San Remo and 1x Coles) purchased in NSW in 2009 (2008 TFA program). Proximates, vitamins and minerals were derived from at least 4 types of cream based pasta dry mix (brands selected included Continental and San Remo) purchased in Adelaide in 1995."	"nil"	"100%"	"Cereals and Cereal Products"	"Noodles and Pasta"	"472"
"10A10425"	"Pasta in cream based sauce, prepared from dry mix with milk & margarine spread"	""	"Pasta meal prepared from a commercial dry mix by the addition of regular fat content milk, water and margarine spread, according to package instructions."	""	"Recipe"	"0.00"	"0.000"	"0.000"	"These nutrient data were derived using a recipe approach. For further information refer to individual ingredients."	"nil"	"100%"	"Cereals and Cereal Products"	"Noodles and Pasta"	"473"
"10A10415"	"Pasta in tomato based sauce, dry mix"	""	"Packaged product that contains dry pasta mixed with other dry ingredients that, when reconstituted, will form a tomato-based pasta dish. Includes mixes described as 'spicy tomato and herb' or 'tomato and onion'. Typical ingredients include pasta, tomato, onion, starch, salt, vegetable oil and spices."	""	"Analysed"	"6.25"	"0.950"	"0.000"	"The majority of nutrients were derived from a composite sample of at least two types of two brands of pasta mix (brands selected include Continental and San Remo) purchased in Adelaide in 1995."	"nil"	"100%"	"Cereals and Cereal Products"	"Noodles and Pasta"	"474"
"10A10426"	"Pasta in tomato based sauce, prepared from dry mix with water & margarine spread"	""	"Pasta meal prepared from a commercial dry mix by the addition of water and margarine spread, according to package instructions."	""	"Recipe"	"0.00"	"0.000"	"0.000"	"These nutrient data were derived using a recipe approach. For further information refer to individual ingredients."	"nil"	"100%"	"Cereals and Cereal Products"	"Noodles and Pasta"	"475"
"02F40187"	"Pasta, beef filled, with tomato based sauce, heated"	""	"Commercially prepared pasta dish made from a minced beef filling enclosed in small pasta envelopes, in tomato-based sauce. Includes pasta purchased frozen and heated by boiling at home and pasta dishes purchased from restaurants."	""	"Analysed"	"6.25"	"0.920"	"0.000"	"Proximates (except dietary fibre), fatty acids, Ca, Fe, K, Mg, Na, Zn and CHOL were derived from 2 composites of 4 samples (4x Tandaco) purchased frozen in Sydney and heated by the laboratory in 1984 (Greenfield et al. 1984). Moisture, dietary fibre, Cu, Mn, P, B1, B2, B3, Retinol and VIT C were derived from a composite of 4 samples purchased from restaurants in Sydney (Greenfield et al. 1991). Moisture, dietary fibre, B1, B2, B3, ACAR, BCAR, CRYP, retinol and VIT C were derived from a composite of 5 samples (1x McCain and 1x Ladeliziosa purchased frozen and heated by the laboratory, and 3x from restaurants) purchased in Adelaide (AGAL 1988). Moisture, Cl, Cu, Mn, P, F, S, Se, ATOC, B6, biotin and pantothenate  were derived from a composite of 8 samples (2x Findus and 2x Buona Pasta purchased  frozen and heated by the laboratory, and 4x from restaurants) purchased in Adelaide (AGAL 1993)."	"nil"	"100%"	"Cereals and Cereal Products"	"Noodles and Pasta"	"476"
"02F40191"	"Pasta, meat filled, fresh, boiled, without added sauce"	""	"Commercially produced meat filling enclosed in small pasta envelopes. Boiled after purchase in unsalted water. Does not include sauce."	""	"Analysed"	"6.25"	"0.920"	"0.000"	"Proximates, vitamins, minerals and fatty acids were derived from a composite sample of at least 8 brands including Leggos, San Remo and Guzzis purchased as part of the 1993/1994 NFA Program."	"nil"	"100%"	"Cereals and Cereal Products"	"Noodles and Pasta"	"477"
"02F40192"	"Pasta, vegetable filled, fresh, boiled, without added sauce"	""	"Commercially produced vegetable filling enclosed in small pasta envelopes. Boiled after purchase in unsalted water. Does not include sauce."	""	"Analysed"	"6.25"	"0.920"	"0.000"	"Proximates, vitamins, minerals and fatty acids were derived from a composite sample of at least 8 brands including Leggos, San Remo and Guzzis purchased as part of the 1993/1994 NFA Program. Note low sum of proximates - data should be used with caution."	"nil"	"100%"	"Cereals and Cereal Products"	"Noodles and Pasta"	"478"
"02F40184"	"Spaghetti in meat sauce, canned"	"Canned spaghetti"	"Commercially prepared canned pasta product containing spaghetti in tomato-based meat sauce. Includes spaghetti bolognese and spaghetti and meat ball varieties."	""	"Analysed"	"6.25"	"0.920"	"0.000"	"Proximates (except moisture and dietary fibre), fatty acids, vitamins (except ATOC, B6, pantothenate and biotin) and minerals (except Cl, Se, S and F) were derived from a composite sample of 6 spaghetti in meat sauces (3x Heinz Spaghetti Bolognese and 2x Campbells Spaghetti and Meat Balls) purchased in Adelaide (AGAL 1988). ATOC, B6, pantothenate, biotin, Cl, Se, S and F were derived from a composite sample of 6 spaghetti bolognese )3x Heinz and 3x Kraft) purchased from 2 supermarkets in Adelaide in 1993 (AGAL 1993). Moisture and dietary fibre are averaged from program. All samples heated in the laboratory."	"nil"	"100%"	"Cereals and Cereal Products"	"Noodles and Pasta"	"479"
"02F40183"	"Spaghetti in tomato & cheese sauce, canned"	"Canned spaghetti"	"Commercially prepared canned pasta product containing spaghetti in tomato and cheese sauce. Includes some low salt varieties."	""	"Analysed"	"6.25"	"0.920"	"0.000"	"Proximates (except moisture), fatty acids, vitamins (except ATOC, B6, pantothenate and biotin) and minerals (except Cu, Mn, P, Cl, Se, S, F and Na) were derived from 8 samples of spaghetti in tomato and cheese sauce (2x SPC salt reduced, 1x SPC, 2x Edgell, 2x Heinz and 1x Black & Gold) purchased from supermarkets in Adelaide (AGAL 1986). Na was based on the average of 5 label values (2006) (2x SPC, Watties, Coles and Savings). ATOC, B6, pantothenate, biotin, Cu, Mn, P, Cl, Se, S and F were derived from a composite of 8 samples of spaghetti in cheese and tomato sauce (2x Heinz, 2x Bi-Lo, 2x Watties and 2x PMU) purchased from 2 supermarkets in Adelaide (AGAL 1993). Moisture is averaged from both programs. All samples heated in the laboratory. Note low sum of proximates - data should be used with caution."	"nil"	"100%"	"Cereals and Cereal Products"	"Noodles and Pasta"	"480"
"02A10332"	"Gnocchi, potato, commercially prepared, boiled"	"Gnocchi di patate"	"Commercially prepared dumplings made from potato and wheat flour, simmered briefly in boiling water."	""	"NNS 1995"	"6.25"	"0.800"	"0.000"	"Data prepared for AUSNUT 1999. Sodium based on label information for products available in 2010 and adjusted for moisture gain on simmering."	"nil"	"100%"	"Cereals and Cereal Products"	"Noodles and Pasta"	"481"
"02E40087"	"Croissant (pastry crescent), commercial, plain"	""	"Crescent-shaped pastry prepared from ingredients such as wheat flour, butter (salted or unsalted) or margarine, yeast, sugar, egg, milk powder and food additives, then baked. Sodium content likely to vary widely depending on ingredients."	""	"Analysed"	"6.25"	"0.945"	"0.000"	"Na, fat and fatty acids were derived from 17 individual samples of croissants purchased frozen or from bakeries in NSW, SA and WA in 2009 (2008 TFA Program). I was derived from 12 individual samples of croissants purchased frozen or from bakeries in NSW and SA as part of the same program. The majority of remaining nutrients were derived from a composite sample of 7 purchases of croissants purchased in patisseries and bakeries in Sydney in 1983 and a composite of 5 purchases of croissants purchased from supermarkets and cake shops in Adelaide in 1988. Cl, Se, S, F, atoc, pyridoxine, pantothenate and biotin were derived from 8 purchases of croissants purchased in Adelaide in 1993. Note low sum of proximates - data should be used with caution."	"nil"	"100%"	"Cereals and Cereal Products"	"Pastries, Pies and Tarts"	"482"
"02E50232"	"Danish pastry, custard & fruit filled"	""	"Commercially prepared puff-style flaky pastry folded around fruit and custard filling."	""	"Analysed"	"6.25"	"0.945"	"0.000"	"Na, fat and fatty acids were determined in 17 individual samples of custard and fruit filled danish purchased in NSW, SA and WA in 2009 (2008 TFA program). I was determined in 12 individual samples of custard and fruit filled danish purchased in NSW and SA as part of the same program. Protein and starch were derived from a composite of 7 samples of fruit and custard filled danish purchased in Sydney in 1983 (Makinson et al. 1989). Cl, Se, S, F, B3, B6, atoc, pantothenate and biotin were derived from  a composite sample of 4 purchases of fruit and custard filled danish purchased in SA in 1993 (AGAL). Cu, Mn, P, ACAR, BCAR, B1, B2, B3, Cryp, dietary fibre, retinol and vitamin C were derived from a composite sample of 5 purchases of fruit and custard filled danish purchased in Adelaide in 1988 (AGAL). Moisture was averaged from all 3 analyses. Ash, Ca, Fe, K, Mg, Na and Zn were averaged from Makinson and AGAL (1988).  Individual sugars are averaged from Makinson and AGAL (1993)."	"nil"	"100%"	"Cereals and Cereal Products"	"Pastries, Pies and Tarts"	"483"
"02E50231"	"Eclair, cream or custard filled, chocolate icing, commercial"	"Chocolate éclair"	"Commercially produced baked choux pastry shell with cream or custard filling and chocolate icing."	""	"Analysed"	"6.25"	"0.945"	"0.000"	"Proximates (except moisture), fatty acids and Na, K, Ca, Mg, Fe and Zn were derived from a composite of 9 samples of eclairs purchased from bakeries in Sydney in 1983 (Makinson et al. 1989). Cu, Mn, P, Cl, Se, S, F, B1, B6, ATOC, pantothenate and biotin were derived from a composite of 8 samples of eclairs purchased from bakeries in South Australia in 1993 (AGAL 1993). ACAR, BCAR, B1, B2, B3, CRYP, retinol and vitamin C were derived from a composite of 5 samples of eclairs purchased in Adelaide in 1988 (AGAL 1988). Dietary fibre is from a second analysis by AGAL VIC (1990) with a dry matter adjustment. Moisture was averaged from AGAL (1988) and Makinson (1989) programs."	"nil"	"100%"	"Cereals and Cereal Products"	"Pastries, Pies and Tarts"	"484"
"02E40088"	"Pastry, choux, raw"	""	"Uncooked batter-type pastry used to prepare cream-puff shells, eclair cases and profiterole shells. Ingredients include commercial shortening, wheat flour, whole egg and salt."	""	"NNS 1995"	"6.25"	"0.945"	"0.000"	"Fatty acids were derived from 1 individual sample of profiteroles purchased in WA in 2009 (2008 TFA program). Remaining data was prepared for AUSNUT 1999, based on a recipe of commercial shortening (50 g), plain flour (100 g), whole egg (96 g EP), salt (1.25 g) and water (150 mL)."	"nil"	"100%"	"Cereals and Cereal Products"	"Pastries, Pies and Tarts"	"485"
